Shift,Point,Timing
ZPME,1013423,16:00
ZPME,1015613,16:00
ZPME,1016832,16:00
ZPME,1002628,16:00
ZPME,1002630,16:00
ZPME,1002633,16:00
ZPME,1002641,16:00
ZPME,1002642,16:00
ZPME,1002644,16:00
ZPME,1002730,16:00
ZPME,1003886,16:00
ZPME,1003943,16:00
ZPME,1004503,16:00
ZPME,1004911,16:00
ZPME,1005517,16:00
ZPME,1006429,16:00
ZPME,1007571,16:00
ZPME,1016358,16:00
ZPME,1017001,16:00
ZPME,1002666,17:00
ZPME,1002668,17:00
ZPME,1002681,17:00
ZPME,1002692,17:00
ZPME,1002698,17:00
ZPME,1002704,17:00
ZPME,1002763,17:00
ZPME,1002814,17:00
ZPME,1002827,17:00
ZPME,1002828,17:00
ZPME,1002829,17:00
ZPME,1002835,17:00
ZPME,1002850,17:00
ZPME,1002879,17:00
ZPME,1003540,17:00
ZPME,1005810,17:00
ZPME,1007715,17:00
ZPME,1009751,17:00
ZPME,1010007,17:00
ZPME,1012620,17:00
ZPME,1016831,17:00
ZPME,1005045,16:00
ZPME,1008314,16:00
ZPME,1004892,16:00
ZPME,1002796,16:00
ZPME,1002797,16:00
ZPME,1002798,16:00
ZPME,1005950,16:00
ZPME,1015258,16:00
ZPME,1016790,16:00
ZPME,1014457,16:00
ZPME,1014656,16:00
ZPME,1010913,16:00
ZPMM,1011881,08:30
ZPMM,1012581,08:30
ZPMM,1013467,08:30
ZPMM,1014458,08:30
ZPMM,1016446,08:30
ZPMM,1016956,08:30
ZPMM,5002050,08:30
ZPMM,5002033,08:30
ZPMM,5001534,08:30
ZPMM,5002259,08:30
ZPMM,5002117,08:30
ZPMM,5002118,08:30
ZPMM,5002161,08:30
ZPMM,1004232,08:30
ZPMM,1011783,08:30
ZPMM,1011950,08:30
ZPMM,1012651,08:30
ZPMM,1012813,08:30
ZPMM,1014637,08:30
ZPMM,1015802,08:30
ZPMM,1016245,08:30
ZPMM,1016693,08:30
ZPMM,1017297,08:30
ZPMM,5002092,08:30
ZPMM,5002091,08:30
ZPMM,5002090,08:30
ZPMM,5002271,08:30
ZPMM,1011765,08:30
ZPMM,1011773,08:30
ZPMM,1012250,08:30
ZPMM,1012398,08:30
ZPMM,1015297,08:30
ZPMM,1016692,08:30
ZPMM,5001466,08:30
ZPMM,5001948,08:30
ZPMM,5001876,08:30
ZPMM,5001777,08:30
ZPMM,5001856,08:30
ZPMM,1011564,08:30
ZPMM,1011782,08:30
ZPMM,1013110,08:30
ZPMM,1014283,08:30
ZPMM,1014450,08:30
ZPMM,1015267,08:30
ZPMM,1016953,08:30
ZPMM,5001467,08:30
ZPMM,5001652,08:30
ZPMM,5002111,08:30
ZPMM,5002347,08:30
