Billing Date,Route,Sold-to party
13-08-15,2420,28763
13-08-15,2420,29711
13-08-15,2420,29797
13-08-15,2421,13984
13-08-15,2421,17965
13-08-15,2421,17966
13-08-15,2421,23960
13-08-15,2421,23965
13-08-15,2421,23972
13-08-15,2421,23985
13-08-15,2421,23988
13-08-15,2421,26993
13-08-15,2421,26998
13-08-15,2421,27968
13-08-15,2421,27969
13-08-15,2421,27994
13-08-15,2421,27998
13-08-15,2421,28965
13-08-15,2421,28976
13-08-15,2421,28977
13-08-15,2421,28979
13-08-15,2421,28980
13-08-15,2421,28999
13-08-15,2422,13005
13-08-15,2422,13069
13-08-15,2422,16011
13-08-15,2422,16053
13-08-15,2422,16081
13-08-15,2422,16085
13-08-15,2422,17005
13-08-15,2422,17043
13-08-15,2422,17045
13-08-15,2422,23981
13-08-15,2422,24058
13-08-15,2422,26007
13-08-15,2422,27036
13-08-15,2422,27063
13-08-15,2423,13716
13-08-15,2423,16703
13-08-15,2423,16740
13-08-15,2423,23713
13-08-15,2423,23721
13-08-15,2423,23724
13-08-15,2423,26702
13-08-15,2423,27757
13-08-15,2423,29726
13-08-15,2423,29756
13-08-15,2423,30746
13-08-15,2423,30768
13-08-15,2423,30777
13-08-15,2424,48
13-08-15,2424,13070
13-08-15,2424,17002
13-08-15,2424,17021
13-08-15,2424,17031
13-08-15,2424,17037
13-08-15,2424,23004
13-08-15,2424,23066
13-08-15,2424,24003
13-08-15,2424,24010
13-08-15,2424,24074
13-08-15,2424,26027
13-08-15,2424,26093
13-08-15,2424,28016
13-08-15,2424,28028
13-08-15,2425,13710
13-08-15,2425,23711
13-08-15,2425,23725
13-08-15,2425,23746
13-08-15,2425,24762
13-08-15,2425,24777
13-08-15,2425,27713
13-08-15,2425,27718
13-08-15,2425,27725
13-08-15,2425,27730
13-08-15,2425,27793
13-08-15,2425,28758
13-08-15,2425,29770
13-08-15,2425,30726
13-08-15,2425,30730
13-08-15,2425,30742
13-08-15,2426,597
13-08-15,2426,17504
13-08-15,2426,23575
13-08-15,2426,23594
13-08-15,2426,25574
13-08-15,2426,26562
13-08-15,2426,28582
13-08-15,2426,28584
13-08-15,2426,29526
13-08-15,2426,29531
13-08-15,2426,29545
13-08-15,2426,29573
13-08-15,2426,29584
13-08-15,2426,30551
13-08-15,2427,13962
13-08-15,2427,13970
13-08-15,2427,13983
13-08-15,2427,17955
13-08-15,2427,26968
13-08-15,2427,26987
13-08-15,2427,27980
13-08-15,2427,28966
13-08-15,2427,28987
13-08-15,2427,28992
13-08-15,2427,28998
13-08-15,2427,29952
13-08-15,2428,13051
13-08-15,2428,13966
13-08-15,2428,13981
13-08-15,2428,16083
13-08-15,2428,26959
13-08-15,2428,27971
13-08-15,2428,27974
13-08-15,2428,27979
13-08-15,2428,27984
13-08-15,2428,27996
13-08-15,2428,28958
13-08-15,2428,28968
13-08-15,2428,28969
13-08-15,2428,28984
13-08-15,2428,29951
13-08-15,2428,29953
13-08-15,2428,29954
13-08-15,2429,761
13-08-15,2429,24736
13-08-15,2429,24761
13-08-15,2429,27726
13-08-15,2429,29778
13-08-15,2429,29795
13-08-15,2429,30723
13-08-15,2429,30725
13-08-15,2430,13003
13-08-15,2430,13044
13-08-15,2430,16005
13-08-15,2430,16019
13-08-15,2430,16050
13-08-15,2430,16089
13-08-15,2430,17004
13-08-15,2430,23014
13-08-15,2430,23032
13-08-15,2430,23037
13-08-15,2430,23055
13-08-15,2430,23062
13-08-15,2430,23090
13-08-15,2430,23092
13-08-15,2430,26028
13-08-15,2430,28020
13-08-15,2431,13731
13-08-15,2431,13755
13-08-15,2431,16732
13-08-15,2431,16746
13-08-15,2431,23786
13-08-15,2431,23788
13-08-15,2431,27702
13-08-15,2431,27754
13-08-15,2431,28767
13-08-15,2431,29738
13-08-15,2431,29747
13-08-15,2431,29767
13-08-15,2431,29774
13-08-15,2431,30702
13-08-15,2432,16590
13-08-15,2432,23551
13-08-15,2432,24502
13-08-15,2432,24571
13-08-15,2432,24573
13-08-15,2432,24574
13-08-15,2432,25557
13-08-15,2432,26506
13-08-15,2432,26575
13-08-15,2432,26588
13-08-15,2432,26596
13-08-15,2432,27560
13-08-15,2432,28502
13-08-15,2432,28529
13-08-15,2432,29515
13-08-15,2432,29587
13-08-15,2432,30521
13-08-15,2432,30562
13-08-15,2433,16704
13-08-15,2433,16713
13-08-15,2433,23727
13-08-15,2433,24706
13-08-15,2433,24716
13-08-15,2433,26735
13-08-15,2433,27716
13-08-15,2433,27764
13-08-15,2433,27771
13-08-15,2433,29717
13-08-15,2433,30701
13-08-15,2434,2
13-08-15,2434,40
13-08-15,2434,13017
13-08-15,2434,16001
13-08-15,2434,17014
13-08-15,2434,17040
13-08-15,2434,27046
13-08-15,2434,28004
13-08-15,2439,10627
13-08-15,2501,624
13-08-15,2501,644
13-08-15,2501,687
13-08-15,2501,690
13-08-15,2501,691
13-08-15,2501,699
13-08-15,2501,1602
13-08-15,2501,13610
13-08-15,2501,16678
13-08-15,2502,204
13-08-15,2502,220
13-08-15,2502,609
13-08-15,2502,610
13-08-15,2502,622
13-08-15,2502,684
13-08-15,2502,694
13-08-15,2502,696
13-08-15,2503,119
13-08-15,2503,127
13-08-15,2503,211
13-08-15,2503,214
13-08-15,2503,910
13-08-15,2503,911
13-08-15,2503,914
13-08-15,2503,925
13-08-15,2503,926
13-08-15,2503,927
13-08-15,2503,928
13-08-15,2503,933
13-08-15,2503,18173
13-08-15,2504,238
13-08-15,2504,626
13-08-15,2504,627
13-08-15,2504,664
13-08-15,2504,675
13-08-15,2504,677
13-08-15,2504,695
13-08-15,2504,1611
13-08-15,2504,19605
13-08-15,2505,421
13-08-15,2505,549
13-08-15,2505,630
13-08-15,2505,637
13-08-15,2505,643
13-08-15,2505,673
13-08-15,2505,674
13-08-15,2505,18591
13-08-15,2506,33
13-08-15,2506,85
13-08-15,2506,91
13-08-15,2506,752
13-08-15,2506,909
13-08-15,2506,912
13-08-15,2506,913
13-08-15,2506,916
13-08-15,2506,917
13-08-15,2506,918
13-08-15,2506,929
13-08-15,2506,16901
13-08-15,2507,360
13-08-15,2507,526
13-08-15,2507,540
13-08-15,2507,542
13-08-15,2507,780
13-08-15,2507,797
13-08-15,2507,1703
13-08-15,2507,16720
13-08-15,2508,565
13-08-15,2508,618
13-08-15,2508,638
13-08-15,2508,671
13-08-15,2508,680
13-08-15,2508,685
13-08-15,2509,10627
13-08-15,2801,861
13-08-15,2801,862
13-08-15,2801,866
13-08-15,2801,869
13-08-15,2801,872
13-08-15,2801,875
13-08-15,2801,877
13-08-15,2801,879
13-08-15,2801,881
13-08-15,2801,882
13-08-15,2801,18884
13-08-15,2802,804
13-08-15,2802,806
13-08-15,2802,810
13-08-15,2802,813
13-08-15,2802,819
13-08-15,2802,822
13-08-15,2802,823
13-08-15,2802,825
13-08-15,2802,838
13-08-15,2802,18825
13-08-15,2802,18826
13-08-15,2802,18833
13-08-15,2802,18839
13-08-15,2803,773
13-08-15,2803,790
13-08-15,2803,803
13-08-15,2803,808
13-08-15,2803,811
13-08-15,2803,816
13-08-15,2803,820
13-08-15,2803,18832
13-08-15,2803,18850
13-08-15,2804,851
13-08-15,2804,852
13-08-15,2804,854
13-08-15,2804,858
13-08-15,2804,860
13-08-15,2804,870
13-08-15,2804,871
13-08-15,2804,889
13-08-15,2804,12893
13-08-15,2804,18878
13-08-15,2805,309
13-08-15,2805,311
13-08-15,2805,408
13-08-15,2805,409
13-08-15,2805,413
13-08-15,2805,424
13-08-15,2806,742
13-08-15,2806,791
13-08-15,2806,10708
13-08-15,2806,10724
13-08-15,2806,10784
13-08-15,2806,13735
13-08-15,2806,13741
13-08-15,2806,40701
13-08-15,2807,73
13-08-15,2807,82
13-08-15,2807,768
13-08-15,2807,1001
13-08-15,2807,18003
13-08-15,2807,18004
13-08-15,2808,702
13-08-15,2808,703
13-08-15,2808,708
13-08-15,2808,718
13-08-15,2808,759
13-08-15,2808,760
13-08-15,2809,714
