REQ DEL DATE1,TIME1,TIME2,REQ DEL DATE2,DOC.TYPE,PLANT,ROUTE,VEHICLE NO.,VENDOR NAME.,CUSTOMER
19-07-13,6:43:12,22-07-13,18:00:00,ZBVM,1100,22413,DL1LK0165,Maheshwari Tpt Service,26671
19-07-13,6:43:12,22-07-13,18:00:00,ZBVM,1100,22413,DL1LK0165,Maheshwari Tpt Service,27605
19-07-13,6:43:12,22-07-13,18:00:00,ZBVM,1100,22413,DL1LK0165,Maheshwari Tpt Service,27619
19-07-13,6:43:12,22-07-13,18:00:00,ZBVM,1100,22413,DL1LK0165,Maheshwari Tpt Service,27637
19-07-13,6:43:12,22-07-13,18:00:00,ZBVM,1100,22413,DL1LK0165,Maheshwari Tpt Service,27656
19-07-13,6:43:12,22-07-13,18:00:00,ZBVM,1100,22413,DL1LK0165,Maheshwari Tpt Service,27688
19-07-13,6:43:12,22-07-13,18:00:00,ZBVM,1100,22413,DL1LK0165,Maheshwari Tpt Service,28640
19-07-13,6:43:12,22-07-13,18:00:00,ZBVM,1100,22413,DL1LK0165,Maheshwari Tpt Service,28650
19-07-13,7:11:21,22-07-13,18:00:00,ZBVM,1100,22415,DL1LG6692,Maheshwari Tpt Service,16562
19-07-13,7:11:21,22-07-13,18:00:00,ZBVM,1100,22415,DL1LG6692,Maheshwari Tpt Service,17508
19-07-13,7:11:21,22-07-13,18:00:00,ZBVM,1100,22415,DL1LG6692,Maheshwari Tpt Service,18599
19-07-13,7:11:21,22-07-13,18:00:00,ZBVM,1100,22415,DL1LG6692,Maheshwari Tpt Service,24544
19-07-13,7:11:21,22-07-13,18:00:00,ZBVM,1100,22415,DL1LG6692,Maheshwari Tpt Service,24558
19-07-13,7:11:21,22-07-13,18:00:00,ZBVM,1100,22415,DL1LG6692,Maheshwari Tpt Service,25627
19-07-13,7:11:21,22-07-13,18:00:00,ZBVM,1100,22415,DL1LG6692,Maheshwari Tpt Service,26513
19-07-13,7:11:21,22-07-13,18:00:00,ZBVM,1100,22415,DL1LG6692,Maheshwari Tpt Service,26527
19-07-13,7:11:21,22-07-13,18:00:00,ZBVM,1100,22415,DL1LG6692,Maheshwari Tpt Service,26548
19-07-13,7:11:21,22-07-13,18:00:00,ZBVM,1100,22415,DL1LG6692,Maheshwari Tpt Service,26685
19-07-13,7:11:21,22-07-13,18:00:00,ZBVM,1100,22415,DL1LG6692,Maheshwari Tpt Service,27564
19-07-13,7:11:21,22-07-13,18:00:00,ZBVM,1100,22415,DL1LG6692,Maheshwari Tpt Service,27566
19-07-13,7:11:21,22-07-13,18:00:00,ZBVM,1100,22415,DL1LG6692,Maheshwari Tpt Service,27576
19-07-13,7:11:21,22-07-13,18:00:00,ZBVM,1100,22415,DL1LG6692,Maheshwari Tpt Service,28519
19-07-13,7:11:21,22-07-13,18:00:00,ZBVM,1100,22415,DL1LG6692,Maheshwari Tpt Service,28550
19-07-13,6:35:03,22-07-13,18:00:00,ZBVM,1100,22417,DL1LG4886,Maheshwari Tpt Service,16535
19-07-13,6:35:03,22-07-13,18:00:00,ZBVM,1100,22417,DL1LG4886,Maheshwari Tpt Service,16556
19-07-13,6:35:03,22-07-13,18:00:00,ZBVM,1100,22417,DL1LG4886,Maheshwari Tpt Service,23535
19-07-13,6:35:03,22-07-13,18:00:00,ZBVM,1100,22417,DL1LG4886,Maheshwari Tpt Service,23542
