Billing Date,Route,Sold-to party
20-08-15,2414,16654
20-08-15,2414,23663
20-08-15,2414,26607
20-08-15,2414,26617
20-08-15,2414,26653
20-08-15,2414,26662
20-08-15,2414,27629
20-08-15,2414,27640
20-08-15,2414,28612
20-08-15,2414,28676
20-08-15,2414,28697
20-08-15,2415,558
20-08-15,2415,13667
20-08-15,2415,13694
20-08-15,2415,16686
20-08-15,2415,24666
20-08-15,2415,26604
20-08-15,2415,26624
20-08-15,2415,26689
20-08-15,2415,28693
20-08-15,2415,29604
20-08-15,2415,29646
20-08-15,2416,715
20-08-15,2416,13723
20-08-15,2416,13732
20-08-15,2416,13749
20-08-15,2416,17707
20-08-15,2416,23742
20-08-15,2416,23755
20-08-15,2416,25702
20-08-15,2416,26751
20-08-15,2416,26755
20-08-15,2416,28762
20-08-15,2416,29781
20-08-15,2416,29793
20-08-15,2416,30758
20-08-15,2417,16763
20-08-15,2417,16793
20-08-15,2417,23759
20-08-15,2417,24715
20-08-15,2417,26721
20-08-15,2417,26725
20-08-15,2417,26752
20-08-15,2417,28720
20-08-15,2417,28751
20-08-15,2417,29713
20-08-15,2417,29725
20-08-15,2417,29776
20-08-15,2417,29790
20-08-15,2417,30717
20-08-15,2417,30718
20-08-15,2417,30773
20-08-15,2418,23521
20-08-15,2418,24535
20-08-15,2418,25563
20-08-15,2418,25572
20-08-15,2418,25573
20-08-15,2418,26508
20-08-15,2418,26563
20-08-15,2418,28511
20-08-15,2418,28531
20-08-15,2418,28545
20-08-15,2418,28554
20-08-15,2418,28555
20-08-15,2418,28562
20-08-15,2418,29568
20-08-15,2418,29585
20-08-15,2418,29593
20-08-15,2418,29595
20-08-15,2419,13756
20-08-15,2419,23799
20-08-15,2419,24735
20-08-15,2419,24747
20-08-15,2419,26716
20-08-15,2419,26736
20-08-15,2419,27707
20-08-15,2419,27753
20-08-15,2419,27783
20-08-15,2419,28727
20-08-15,2419,29758
20-08-15,2419,29775
20-08-15,2419,30711
20-08-15,2419,30729
20-08-15,2420,10770
20-08-15,2420,19702
20-08-15,2420,23773
20-08-15,2420,27712
20-08-15,2420,27760
20-08-15,2420,27798
20-08-15,2420,28717
20-08-15,2420,28763
20-08-15,2420,29711
20-08-15,2420,29765
20-08-15,2420,29780
20-08-15,2421,13984
20-08-15,2421,17965
20-08-15,2421,17966
20-08-15,2421,23960
20-08-15,2421,23965
20-08-15,2421,23972
20-08-15,2421,23985
20-08-15,2421,23988
20-08-15,2421,26993
20-08-15,2421,26998
20-08-15,2421,27968
20-08-15,2421,27969
20-08-15,2421,27994
20-08-15,2421,27998
20-08-15,2421,28965
20-08-15,2421,28976
20-08-15,2421,28977
20-08-15,2421,28979
20-08-15,2421,28980
20-08-15,2421,28999
20-08-15,2422,13005
20-08-15,2422,13069
20-08-15,2422,16011
20-08-15,2422,16053
20-08-15,2422,16081
20-08-15,2422,16085
20-08-15,2422,17005
20-08-15,2422,17043
20-08-15,2422,17045
20-08-15,2422,23981
20-08-15,2422,24058
20-08-15,2422,26007
20-08-15,2422,27036
20-08-15,2422,27063
20-08-15,2423,13716
20-08-15,2423,16703
20-08-15,2423,16740
20-08-15,2423,23713
20-08-15,2423,23721
20-08-15,2423,23724
20-08-15,2423,26702
20-08-15,2423,27757
20-08-15,2423,29726
20-08-15,2423,29756
20-08-15,2423,30746
20-08-15,2423,30768
20-08-15,2423,30777
20-08-15,2424,48
20-08-15,2424,13070
20-08-15,2424,17002
20-08-15,2424,17021
20-08-15,2424,17031
20-08-15,2424,17037
20-08-15,2424,23004
20-08-15,2424,23014
20-08-15,2424,23062
20-08-15,2424,23066
20-08-15,2424,24003
20-08-15,2424,24010
20-08-15,2424,26027
20-08-15,2424,26093
20-08-15,2424,28028
20-08-15,2425,13710
20-08-15,2425,23711
20-08-15,2425,23725
20-08-15,2425,23746
20-08-15,2425,24762
20-08-15,2425,24777
20-08-15,2425,27713
20-08-15,2425,27718
20-08-15,2425,27725
20-08-15,2425,27730
20-08-15,2425,27793
20-08-15,2425,28758
20-08-15,2425,29770
20-08-15,2425,30726
20-08-15,2425,30730
20-08-15,2425,30742
20-08-15,2426,597
20-08-15,2426,17504
20-08-15,2426,23575
20-08-15,2426,23594
20-08-15,2426,25574
20-08-15,2426,26562
20-08-15,2426,28582
20-08-15,2426,28584
20-08-15,2426,29526
20-08-15,2426,29531
20-08-15,2426,29545
20-08-15,2426,29573
20-08-15,2426,29584
20-08-15,2426,30551
20-08-15,2427,13962
20-08-15,2427,13970
20-08-15,2427,13983
